skill_id,type,skill_name,skill_category,project_ids,description,tooling_or_library_examples,works_with,requires,transferability_notes,works_with_names,requires_names,project_names
SK01,skill,Requirements Discovery and Scoping Workshops,Product & Business,"P01, P04, P05, P06, P07, P08, P09, P10","Ability to run discovery sessions with stakeholders, extract ambiguous business problems, translate them into scoped technical requirements, and document acceptance criteria. FDEs spend 40% of time here.","Miro (collaborative whiteboarding), Notion (requirements doc), interview frameworks (RICE, user story mapping)","SK09, SK10, SK12",,Directly transfers across all domains; core FDE competency for any new customer engagement.,"Cross-functional Stakeholder Engagement, Business Impact and ROI Quantification, Customer Feedback Loops and Iteration",,"Venture Capital Due Diligence Automation Platform, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK02,skill,RAG Architecture Design,AI/ML & LLM,"P01, P02, P06, P08","Design of document ingestion, embedding, retrieval, and augmentation pipelines for LLM-powered applications. Includes chunking strategies, embedding model selection, vector DB tuning, and reranking.","LangChain (orchestration), LlamaIndex (retrieval), pgvector (Postgres extension), Qdrant (vector DB), embedding models (sentence-transformers, OpenAI), rerankers (Cohere, BGE)","SK03, SK04, SK06, SK26",SK03,"Applies to any domain requiring knowledge retrieval (support, ops, healthcare, legal).","Prompt Engineering and System Design, API Design and Contract Management, Database Schema Design and Query Optimization, Codebase Indexing and Semantic Search",Prompt Engineering and System Design,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Engineering Productivity AI Copilot with Code Review and Documentation, Hospital Patient Workflow Optimization and Clinical Documentation"
SK03,skill,Prompt Engineering and System Design,AI/ML & LLM,"P01, P02, P03, P04, P05, P06, P07, P09, P10","Craft of prompts to elicit desired behaviors from LLMs: reasoning, structured output, in-context learning, chain-of-thought, tool use. Includes system prompt design, few-shot examples, and iterative refinement.","LangChain (prompt templates), LiteLLM (model abstraction), OpenAI Playground, Mistral AI console","SK02, SK04, SK13, SK24, SK25, SK27, SK28",,Core competency across all LLM applications; nuances vary by domain but patterns reuse.,"RAG Architecture Design, API Design and Contract Management, Agentic Workflows and Tool Use, IDE Integration and Developer UX, Context Window Management and Prompt Optimization, Geospatial Data and Location Services, Mobile App Integration and Real-time Sync",,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK04,skill,API Design and Contract Management,Full-Stack & APIs,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","Design of REST and async APIs for LLM applications: request/response schemas, error handling, versioning, rate limiting, contract testing. Ensures integrations with external systems are robust and maintainable.","FastAPI (Python), Express (Node.js), Pydantic (schema validation), OpenAPI/Swagger (documentation), Postman (testing)","SK05, SK06, SK08, SK11",SK05,Core backend pattern applicable to any FDE project; API-first thinking ensures scalability.,"Full-Stack Application Development, Database Schema Design and Query Optimization, Observability and Production Debugging, Structured Output Extraction and Parsing",Full-Stack Application Development,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK05,skill,Full-Stack Application Development,Full-Stack & APIs,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","End-to-end web application development: frontend (React, Next.js), backend (FastAPI, Node.js), database design, state management, auth, deployment. FDEs must ship complete, production-ready features.","Next.js (full-stack framework), React (frontend), FastAPI (backend), Postgres (database), Docker (containerization), AWS/GCP/Azure (deployment)","SK04, SK06, SK08, SK11, SK24, SK25",,Universal FDE skill; languages and frameworks vary but patterns hold across domains.,"API Design and Contract Management, Database Schema Design and Query Optimization, Observability and Production Debugging, Structured Output Extraction and Parsing, IDE Integration and Developer UX, Context Window Management and Prompt Optimization",,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK06,skill,Database Schema Design and Query Optimization,Data & Infra,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","Design of normalized/denormalized schemas for OLTP/OLAP workloads, indexing strategies, query optimization, and data warehouse modeling. Critical for shipping scalable integrations.","Postgres (primary DB), Snowflake (data warehouse), pgvector (extensions), explain plans (query analysis), dbt (transformation)","SK04, SK05, SK08, SK20",,Direct transfer across all FDE projects; schema patterns are domain-agnostic.,"API Design and Contract Management, Full-Stack Application Development, Observability and Production Debugging, Cost Optimization and Resource Allocation",,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK07,skill,Data Security and Privacy Compliance,Enterprise Integration,"P01, P08","Implementation of data governance, encryption (at rest/in transit), access control, audit logging, and compliance (GDPR, HIPAA, SOC2). FDEs embed in regulated industries and must ship securely.","Auth0 (identity), VPC isolation, encryption libraries, audit logging (DataDog, ELK), policy frameworks (OWASP)","SK08, SK29, SK30",SK08,"Applies to any regulated vertical (healthcare, finance, legal); patterns vary by regulation.","Observability and Production Debugging, HIPAA and Healthcare Compliance, Voice/Audio Processing and Transcription",Observability and Production Debugging,"Venture Capital Due Diligence Automation Platform, Hospital Patient Workflow Optimization and Clinical Documentation"
SK08,skill,Observability and Production Debugging,MLOps/LLMOps,"P01, P02, P03, P04, P05, P06, P07, P08, P09, P10","Instrumentation, monitoring, logging, and tracing of production systems. Includes metrics definition, alerting, on-call runbooks, and root cause analysis. FDEs must debug customer issues in real time.","Prometheus (metrics), DataDog (observability), ELK Stack (logging), Jaeger (tracing), PagerDuty (alerting)","SK04, SK05, SK06, SK19, SK20",SK05,Core FDE practice across all projects; tooling varies but observability mindset is universal.,"API Design and Contract Management, Full-Stack Application Development, Database Schema Design and Query Optimization, Pipeline Orchestration and Automation, Cost Optimization and Resource Allocation",Full-Stack Application Development,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Hospital Patient Workflow Optimization and Clinical Documentation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK09,skill,Cross-functional Stakeholder Engagement,Product & Business,"P01, P04, P05, P08","Ability to communicate with diverse stakeholders (executives, ops teams, engineers, end users), gather feedback, manage expectations, and coordinate execution. FDEs are translator-liaisons between business and technology.","Stakeholder maps (Venn diagrams), decision frameworks (RACI), feedback loops (Slack, surveys), retrospectives","SK01, SK10, SK12",SK01,Core interpersonal skill; applies across all domains and project phases.,"Business Impact and ROI Quantification, Customer Feedback Loops and Iteration",Requirements Discovery and Scoping Workshops,"Venture Capital Due Diligence Automation Platform, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Hospital Patient Workflow Optimization and Clinical Documentation"
SK10,skill,Business Impact and ROI Quantification,Product & Business,"P01, P04, P05, P09, P10","Ability to define KPIs, measure project impact (time saved, revenue generated, cost reduced), and articulate business value. FDEs pitch projects in terms of business outcomes, not features.","Excel (financial modeling), Tableau (dashboards), attribution frameworks (Shapley values), A/B testing platforms","SK01, SK09, SK12, SK22",SK01,Universally applicable; ROI mindset transfers across all FDE engagements.,"Requirements Discovery and Scoping Workshops, Cross-functional Stakeholder Engagement, Customer Feedback Loops and Iteration, Experimentation and A/B Testing Frameworks",Requirements Discovery and Scoping Workshops,"Venture Capital Due Diligence Automation Platform, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK11,skill,Structured Output Extraction and Parsing,AI/ML & LLM,"P01, P02","Design of prompt instructions and parsing logic to extract structured data (JSON, tables) from unstructured LLM outputs. Includes validation, retry logic, and fallback strategies.","Pydantic (validation), json.loads, regex parsing, LangChain output parsers, Marvin (structured extraction)","SK03, SK04, SK11",SK03,"Applies to any LLM task producing structured outputs (data extraction, document parsing).","Prompt Engineering and System Design, API Design and Contract Management, Structured Output Extraction and Parsing",Prompt Engineering and System Design,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration"
SK12,skill,Customer Feedback Loops and Iteration,Product & Business,"P01, P02, P05, P06, P10","Design and implementation of feedback mechanisms (surveys, usage analytics, user interviews, telemetry) to inform rapid iteration. Connects customer signals to product decisions.","Segment (event tracking), Amplitude (analytics), Slack (feedback collection), Typeform (surveys), customer interviews","SK01, SK09, SK10, SK18",SK01,Universal FDE practice; feedback loop patterns reuse across domains.,"Requirements Discovery and Scoping Workshops, Cross-functional Stakeholder Engagement, Business Impact and ROI Quantification, Feedback Loop Design and Active Learning",Requirements Discovery and Scoping Workshops,"Venture Capital Due Diligence Automation Platform, Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Engineering Productivity AI Copilot with Code Review and Documentation, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK13,skill,Agentic Workflows and Tool Use,AI/ML & LLM,"P02, P07","Design of multi-step workflows where LLMs call tools (APIs, functions) to accomplish goals. Includes action selection, tool composition, error recovery, and context management across turns.","LangChain agents, Anthropic tool_use, LiteLLM function calling, OpenAI function calling, LlamaIndex tools","SK03, SK04, SK24, SK25, SK27",SK03,"Applies to complex reasoning tasks across domains (support escalation, dispatch, clinical workflows).","Prompt Engineering and System Design, API Design and Contract Management, IDE Integration and Developer UX, Context Window Management and Prompt Optimization, Geospatial Data and Location Services",Prompt Engineering and System Design,"Customer Support Chatbot with Live Handoff and Knowledge Base Integration, Field Service Dispatch and Route Optimization with Dynamic Scheduling"
SK14,skill,Semantic Search and Vector Store Optimization,Data & Infra,P02,"Optimization of embedding models, vector DB indexing (HNSW, IVF), chunking strategies, and search relevance tuning. Critical for retrieval-heavy applications.","Qdrant (vector DB), pgvector (Postgres), Pinecone, embedding models (sentence-transformers), HNSW algorithms","SK02, SK06",SK02,"Direct transfer across any application using semantic search (support, recommendations, discovery).","RAG Architecture Design, Database Schema Design and Query Optimization",RAG Architecture Design,Customer Support Chatbot with Live Handoff and Knowledge Base Integration
SK15,skill,Real-time Integration and Event Streaming,Enterprise Integration,P02,"Design and operation of event streaming architectures (Kafka, pub/sub) for real-time data pipelines. Enables low-latency updates and cross-system synchronization.","Kafka (event bus), AWS SQS/SNS (pub/sub), WebSocket (real-time UI), gRPC (streaming RPC)","SK04, SK05, SK06, SK08",SK04,"Applies to any system requiring low-latency updates (support handoff, fraud detection, dispatch).","API Design and Contract Management, Full-Stack Application Development, Database Schema Design and Query Optimization, Observability and Production Debugging",API Design and Contract Management,Customer Support Chatbot with Live Handoff and Knowledge Base Integration
SK16,skill,Feature Engineering and Model Architecture,AI/ML & LLM,"P03, P04, P09, P10","Design of features for ML models, selection of model architecture (regression, classification, ensembles), hyperparameter tuning, and ablation studies. Bridges business signals to model performance.","scikit-learn (classical ML), XGBoost, LightGBM, Prophet (time series), feature engineering techniques (normalization, encoding, interactions)","SK17, SK18, SK21, SK22",,"Applies to any FDE project with ML components (forecasting, ranking, classification).","Model Evaluation and Ablation Testing, Feedback Loop Design and Active Learning, Time Series Forecasting and Trend Analysis, Experimentation and A/B Testing Frameworks",,"Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK17,skill,Model Evaluation and Ablation Testing,AI/ML & LLM,"P03, P04, P09, P10","Rigorous evaluation of model performance: train/test splits, cross-validation, holdout evaluation sets, ablation studies (remove feature, measure impact), and comparison to baselines.","scikit-learn (metrics), cross_val_score, confusion matrix, ROC curves, confusion_matrix, ablation frameworks","SK16, SK18, SK22",SK16,Direct transfer across all ML projects; evaluation discipline is universal.,"Feature Engineering and Model Architecture, Feedback Loop Design and Active Learning, Experimentation and A/B Testing Frameworks",Feature Engineering and Model Architecture,"Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK18,skill,Feedback Loop Design and Active Learning,MLOps/LLMOps,"P03, P04, P05, P10","Design of systems where models improve from user feedback (labels, corrections, implicit signals). Includes data collection, labeling workflows, retraining pipelines, and cold-start strategies.","Label studio (annotation), Snorkel (weak labeling), uncertainty sampling (active learning), labeling queues","SK12, SK16, SK17, SK19, SK22",SK16,"Applies to any system requiring continuous model improvement (fraud, forecasting, recommendations).","Customer Feedback Loops and Iteration, Feature Engineering and Model Architecture, Model Evaluation and Ablation Testing, Pipeline Orchestration and Automation, Experimentation and A/B Testing Frameworks",Feature Engineering and Model Architecture,"Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Sales GTM Engine with Prospect Prioritization and Outreach Automation, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK19,skill,Pipeline Orchestration and Automation,MLOps/LLMOps,"P03, P04, P08, P10","Design and operation of data pipelines (ETL/ELT) and ML pipelines (training, evaluation, deployment). Includes scheduling, error handling, monitoring, and infrastructure-as-code.","Airflow (orchestration), Dagster (data pipelines), GitHub Actions (CI/CD), dbt (transformations), Kubernetes (orchestration)","SK06, SK08, SK20",SK05,Universal FDE pattern; orchestration mindset applies across all data-heavy projects.,"Database Schema Design and Query Optimization, Observability and Production Debugging, Cost Optimization and Resource Allocation",Full-Stack Application Development,"Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Hospital Patient Workflow Optimization and Clinical Documentation, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK20,skill,Cost Optimization and Resource Allocation,Data & Infra,"P03, P04, P06, P07, P09, P10","Optimization of compute costs (GPU vs CPU, spot instances), storage (tiering, compression), query costs (index selection), and model serving (batch vs real-time). FDEs ship cost-conscious systems.","AWS Cost Explorer, DuckDB (efficient analytics), caching strategies (Redis), batch processing, spot instances","SK06, SK08, SK19",SK05,Universal FDE practice; cost mindset applies across all infrastructure decisions.,"Database Schema Design and Query Optimization, Observability and Production Debugging, Pipeline Orchestration and Automation",Full-Stack Application Development,"Fraud Detection Engine for Fintech Payment Network, Supply Chain Visibility and Demand Forecasting System, Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK21,skill,Time Series Forecasting and Trend Analysis,AI/ML & LLM,"P04, P09","Design of time series forecasting models (ARIMA, Prophet, LSTM), seasonal decomposition, trend analysis, and anomaly detection. Applies to demand, traffic, and operational forecasting.","Prophet (Facebook), ARIMA (statsmodels), LightGBM (tabular forecasting), anomaly detection (Isolation Forest)","SK16, SK17",SK16,"Transfers across any domain with time-dependent data (supply chain, cinema, marketing, healthcare).","Feature Engineering and Model Architecture, Model Evaluation and Ablation Testing",Feature Engineering and Model Architecture,"Supply Chain Visibility and Demand Forecasting System, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting"
SK22,skill,Experimentation and A/B Testing Frameworks,Product & Business,"P05, P09, P10","Design of experiments to validate hypotheses, statistical power calculations, randomization, and analysis. Ensures data-driven decision-making.","Statsmodels (hypothesis tests), Numpy (power analysis), feature flags (LaunchDarkly), A/B test platforms (Optimizely)","SK10, SK12, SK16, SK17, SK18",SK10,Universal FDE practice for validating product decisions and model improvements.,"Business Impact and ROI Quantification, Customer Feedback Loops and Iteration, Feature Engineering and Model Architecture, Model Evaluation and Ablation Testing, Feedback Loop Design and Active Learning",Business Impact and ROI Quantification,"Sales GTM Engine with Prospect Prioritization and Outreach Automation, Cinema Revenue Optimization Engine with Dynamic Pricing and Occupancy Forecasting, Marketing Attribution and Campaign Optimization with Multi-Touch Attribution"
SK23,skill,Data Privacy and Compliance at Scale,Enterprise Integration,P05,"Implementation of privacy-preserving techniques (data anonymization, PII redaction), compliance with regulations (GDPR, CCPA), and responsible AI practices. FDEs work with customer data at scale.","Data anonymization libraries, encryption, audit logging, GDPR compliance frameworks, PII detection tools","SK07, SK08",SK07,Applies to any system handling customer data; patterns vary by regulation but principles reuse.,"Data Security and Privacy Compliance, Observability and Production Debugging",Data Security and Privacy Compliance,Sales GTM Engine with Prospect Prioritization and Outreach Automation
SK24,skill,IDE Integration and Developer UX,Full-Stack & APIs,P06,"Design of developer tools and IDE extensions that integrate seamlessly into workflows. Emphasizes UX (latency, discoverability, responsiveness) and observability.","VS Code API, Language Server Protocol (LSP), IntelliJ Plugin SDK, Electron (cross-platform)","SK03, SK05, SK13, SK25",SK05,Specific to developer tools; patterns transfer to other tools-for-engineers projects.,"Prompt Engineering and System Design, Full-Stack Application Development, Agentic Workflows and Tool Use, Context Window Management and Prompt Optimization",Full-Stack Application Development,Engineering Productivity AI Copilot with Code Review and Documentation
SK25,skill,Context Window Management and Prompt Optimization,AI/ML & LLM,"P06, P07","Optimization of LLM context windows (token budgets, compression, multi-turn reasoning). Includes strategies for long documents, summarization, and hierarchical prompting.","Token counters, prompt compression libraries, hierarchical prompting (LangChain), document summaries","SK03, SK13, SK24, SK26",SK03,"Applies to any LLM task with long context requirements (code review, document analysis).","Prompt Engineering and System Design, Agentic Workflows and Tool Use, IDE Integration and Developer UX, Codebase Indexing and Semantic Search",Prompt Engineering and System Design,"Engineering Productivity AI Copilot with Code Review and Documentation, Field Service Dispatch and Route Optimization with Dynamic Scheduling"
SK26,skill,Codebase Indexing and Semantic Search,AI/ML & LLM,P06,"Indexing of codebases for semantic search, code embedding strategies, and context retrieval for code-aware AI applications. Enables code understanding at scale.","Tree-sitter (parsing), semantic search (pgvector), Code2Vec embeddings, Codex models","SK02, SK25",SK02,Direct transfer to other developer tools and documentation systems.,"RAG Architecture Design, Context Window Management and Prompt Optimization",RAG Architecture Design,Engineering Productivity AI Copilot with Code Review and Documentation
SK27,skill,Geospatial Data and Location Services,Data & Infra,P07,"Handling of geographic data (coordinates, polygons, routes), spatial indexing (PostGIS), routing algorithms (OR-Tools), and location-based reasoning.","PostGIS (spatial DB), OR-Tools (vehicle routing), Google Maps API, Mapbox, Folium (visualization)","SK03, SK06, SK13, SK27",SK06,"Applies to any location-aware system (delivery, field services, logistics).","Prompt Engineering and System Design, Database Schema Design and Query Optimization, Agentic Workflows and Tool Use, Geospatial Data and Location Services",Database Schema Design and Query Optimization,Field Service Dispatch and Route Optimization with Dynamic Scheduling
SK28,skill,Mobile App Integration and Real-time Sync,Full-Stack & APIs,P07,"Integration of mobile apps with backend systems, real-time data sync (Firebase, WebSocket), offline-first design, and mobile-specific performance optimization.","React Native (cross-platform), Firebase (real-time DB), WebSocket (bidirectional), React Query (sync state)","SK03, SK05, SK15",SK05,"Applies to any mobile-backed FDE project (dispatch, support, health).","Prompt Engineering and System Design, Full-Stack Application Development, Real-time Integration and Event Streaming",Full-Stack Application Development,Field Service Dispatch and Route Optimization with Dynamic Scheduling
SK29,skill,HIPAA and Healthcare Compliance,Enterprise Integration,P08,"Compliance with HIPAA regulations (PHI encryption, access controls, audit trails, business associate agreements). Specific to healthcare deployments.","HIPAA-compliant cloud services (AWS GxP, Microsoft Azure), encryption libraries, audit logging frameworks","SK07, SK30",SK07,Specific to healthcare; not directly transferable but governance patterns apply to other regulated industries.,"Data Security and Privacy Compliance, Voice/Audio Processing and Transcription",Data Security and Privacy Compliance,Hospital Patient Workflow Optimization and Clinical Documentation
SK30,skill,Voice/Audio Processing and Transcription,Full-Stack & APIs,P08,"Integration of speech-to-text (Twilio, Whisper), audio processing, and voice-enabled interfaces. Enables hands-free workflows (critical in healthcare, field services).","Twilio (transcription API), Whisper (OpenAI), audio libraries (librosa), WebRTC (audio streaming)","SK05, SK29",SK05,"Transfers to any hands-free workflow (clinician notes, technician reports, customer support).","Full-Stack Application Development, HIPAA and Healthcare Compliance",Full-Stack Application Development,Hospital Patient Workflow Optimization and Clinical Documentation
SK31,skill,Statistical Modeling and Causal Inference,AI/ML & LLM,P10,"Application of statistical methods (causal inference, Shapley values, propensity scoring) to answer ""why"" questions. Includes attribution, counterfactual reasoning, and impact measurement.","Shapley values (shap), causal inference (DoWhy), propensity matching, statsmodels","SK16, SK17, SK22",SK16,"Applies to attribution, impact measurement, and causal analysis across domains.","Feature Engineering and Model Architecture, Model Evaluation and Ablation Testing, Experimentation and A/B Testing Frameworks",Feature Engineering and Model Architecture,Marketing Attribution and Campaign Optimization with Multi-Touch Attribution
