tool_id,type,tool_name,tool_category,project_ids,description,tooling_or_library_examples,works_with,requires,transferability_notes,works_with_names,requires_names,project_names
TL01,tool,LangChain,AI/ML & LLM,"P01, P02, P05, P06, P08, P10","Python/JS framework for building LLM applications. Chains prompts, integrates tools, manages memory, and handles retrieval.",,"TL02, TL04, TL05, TL10",,Cross-domain use (6 projects); foundational AI/ML & LLM tool,"Mistral API, Postgres, FastAPI, Qdrant",,"VC Due Diligence AI Analyst, Customer Support Multimodal Triage, Sales GTM Playbook and Automation, Engineering Productivity AI Copilot, Healthcare Patient Outcome Prediction, Cinema Revenue Optimization and Pricing"
TL02,tool,Mistral API,AI/ML & LLM,"P01, P02, P05, P06, P08, P10","Mistral's commercial LLM API. Low latency, cost-effective alternative to GPT and Claude.",,"TL01, TL05, TL06, TL13",,Cross-domain use (6 projects); foundational AI/ML & LLM tool,"LangChain, FastAPI, Flask, Express.js",,"VC Due Diligence AI Analyst, Customer Support Multimodal Triage, Sales GTM Playbook and Automation, Engineering Productivity AI Copilot, Healthcare Patient Outcome Prediction, Cinema Revenue Optimization and Pricing"
TL03,tool,pgvector,Data & Infra,P01,PostgreSQL extension for vector similarity search. Enables embedding storage and semantic queries.,,"TL04, TL01",TL04,Specialized use case; domain-specific adaptation required,"Postgres, LangChain",Postgres,VC Due Diligence AI Analyst
TL04,tool,Postgres,Data & Infra,"P01, P03, P04, P05, P06, P07, P08, P09, P10","Open-source relational database. Industry standard for OLTP with JSON, full-text search, and pgvector.",,"TL03, TL12, TL23, TL27",,Cross-domain use (9 projects); foundational Data & Infra tool,"pgvector, S3, Redis, dbt",,"VC Due Diligence AI Analyst, Fintech Fraud Detection Real-Time, Supply Chain Demand Forecasting, Sales GTM Playbook and Automation, Engineering Productivity AI Copilot, Field Service Optimization and Routing, Healthcare Patient Outcome Prediction, Marketing Performance Attribution, Cinema Revenue Optimization and Pricing"
TL05,tool,FastAPI,Full-Stack & APIs,"P01, P05, P08, P10",Python async web framework for building REST APIs. Auto-generates OpenAPI docs and handles validation.,,"TL09, TL13, TL14",,Cross-domain use (4 projects); foundational Full-Stack & APIs tool,"Next.js, Express.js, React",,"VC Due Diligence AI Analyst, Sales GTM Playbook and Automation, Healthcare Patient Outcome Prediction, Cinema Revenue Optimization and Pricing"
TL06,tool,Flask,Full-Stack & APIs,"P04, P07, P09",Lightweight Python web framework. Minimal and flexible for small to medium APIs and prototypes.,,"TL05, TL13",,Applied to 3 distinct domains; transferable with configuration,"FastAPI, Express.js",,"Supply Chain Demand Forecasting, Field Service Optimization and Routing, Marketing Performance Attribution"
TL07,tool,Whisper,AI/ML & LLM,P02,"OpenAI's speech-to-text model. Multilingual, robust, available as open-source.",,"TL01, TL02",,Specialized use case; domain-specific adaptation required,"LangChain, Mistral API",,Customer Support Multimodal Triage
TL08,tool,AWS Lambda,Data & Infra,"P01, P10","Serverless compute for event-driven workloads. Used for ETL, webhooks, and on-demand scaling.",,"TL12, TL26",,Applied to 2 distinct domains; transferable with configuration,"S3, GitHub Actions",,"VC Due Diligence AI Analyst, Cinema Revenue Optimization and Pricing"
TL09,tool,Next.js,Full-Stack & APIs,"P01, P05, P06, P10","React framework with server-side rendering, API routes, and static generation.",,"TL05, TL06, TL14, TL29",,Cross-domain use (4 projects); foundational Full-Stack & APIs tool,"FastAPI, Flask, React, Stripe",,"VC Due Diligence AI Analyst, Sales GTM Playbook and Automation, Engineering Productivity AI Copilot, Cinema Revenue Optimization and Pricing"
TL10,tool,Qdrant,Data & Infra,P02,"Open-source vector database optimized for similarity search. Supports filtering, re-ranking, and distribution.",,"TL01, TL04, TL12",,Specialized use case; domain-specific adaptation required,"LangChain, Postgres, S3",,Customer Support Multimodal Triage
TL11,tool,MongoDB,Data & Infra,P02,NoSQL document database. Flexible schema for unstructured data like chat logs and KB documents.,,"TL04, TL12, TL16",,Specialized use case; domain-specific adaptation required,"Postgres, S3, GCP Cloud Run",,Customer Support Multimodal Triage
TL12,tool,S3,Data & Infra,"P01, P04, P05, P06, P07, P09, P10","AWS Simple Storage Service. Object storage for documents, backups, and large file handling.",,"TL04, TL10, TL11, TL08",,Cross-domain use (7 projects); foundational Data & Infra tool,"Postgres, Qdrant, MongoDB, AWS Lambda",,"VC Due Diligence AI Analyst, Supply Chain Demand Forecasting, Sales GTM Playbook and Automation, Engineering Productivity AI Copilot, Field Service Optimization and Routing, Marketing Performance Attribution, Cinema Revenue Optimization and Pricing"
TL13,tool,Express.js,Full-Stack & APIs,"P02, P07, P09",Minimal Node.js web framework. Lightweight and highly extensible for APIs.,,"TL05, TL06, TL14, TL09",,Applied to 3 distinct domains; transferable with configuration,"FastAPI, Flask, React, Next.js",,"Customer Support Multimodal Triage, Field Service Optimization and Routing, Marketing Performance Attribution"
TL14,tool,React,Full-Stack & APIs,P01,"JavaScript library for building interactive UIs. Component-based, widely adopted.",,"TL05, TL06, TL13, TL09",,Specialized use case; domain-specific adaptation required,"FastAPI, Flask, Express.js, Next.js",,VC Due Diligence AI Analyst
TL15,tool,Docker,Data & Infra,P02,Container runtime. Enables reproducible environments and microservices deployment.,,"TL16, TL26",,Specialized use case; domain-specific adaptation required,"GCP Cloud Run, GitHub Actions",,Customer Support Multimodal Triage
TL16,tool,GCP Cloud Run,Data & Infra,P02,Google Cloud's serverless container platform. Runs containerized apps on demand with auto-scaling.,,"TL15, TL17",TL15,Specialized use case; domain-specific adaptation required,"Docker, Pub/Sub",Docker,Customer Support Multimodal Triage
TL17,tool,Pub/Sub,Data & Infra,P02,"Google Cloud's managed message queue. Enables async, decoupled microservice communication.",,"TL16, TL18",,Specialized use case; domain-specific adaptation required,"GCP Cloud Run, Kafka",,Customer Support Multimodal Triage
TL18,tool,Kafka,Data & Infra,P03,"Distributed event streaming platform. Handles high-throughput, real-time data pipelines.",,"TL19, TL20, TL23",,Specialized use case; domain-specific adaptation required,"Faust, XGBoost, Redis",,Fintech Fraud Detection Real-Time
TL19,tool,Faust,Data & Infra,P03,Python stream processing framework on Kafka. Enables stateful stream transformations.,,"TL18, TL20, TL23",TL18,Specialized use case; domain-specific adaptation required,"Kafka, XGBoost, Redis",Kafka,Fintech Fraud Detection Real-Time
TL20,tool,XGBoost,AI/ML & LLM,"P03, P08","Gradient boosting library. High-performance for structured data, widely used.",,"TL18, TL19, TL22, TL28",,Applied to 2 distinct domains; transferable with configuration,"Kafka, Faust, ONNX Runtime, SHAP",,"Fintech Fraud Detection Real-Time, Healthcare Patient Outcome Prediction"
TL21,tool,Flask,Full-Stack & APIs,,Lightweight Python web framework. Minimal and flexible for small to medium APIs.,,"TL05, TL06",,Specialized use case; domain-specific adaptation required,"FastAPI, Flask",,
TL22,tool,ONNX Runtime,MLOps/LLMOps,P03,Fast inference engine for ML models. Supports sub-10ms latency inference.,,"TL20, TL28",,Specialized use case; domain-specific adaptation required,"XGBoost, SHAP",,Fintech Fraud Detection Real-Time
TL23,tool,Redis,Data & Infra,"P03, P07, P08, P10","In-memory data store. Used for caching, sessions, counters, and state management.",,"TL04, TL18, TL19",,Cross-domain use (4 projects); foundational Data & Infra tool,"Postgres, Kafka, Faust",,"Fintech Fraud Detection Real-Time, Field Service Optimization and Routing, Healthcare Patient Outcome Prediction, Cinema Revenue Optimization and Pricing"
TL24,tool,Grafana,MLOps/LLMOps,"P02, P03, P08","Visualization and alerting platform. Dashboards for metrics, logs, and operational monitoring.",,"TL25, TL26",,Applied to 3 distinct domains; transferable with configuration,"PagerDuty, GitHub Actions",,"Customer Support Multimodal Triage, Fintech Fraud Detection Real-Time, Healthcare Patient Outcome Prediction"
TL25,tool,PagerDuty,MLOps/LLMOps,P03,Incident management and on-call scheduling. Integrates with monitoring systems.,,"TL24, TL26",,Specialized use case; domain-specific adaptation required,"Grafana, GitHub Actions",,Fintech Fraud Detection Real-Time
TL26,tool,GitHub Actions,MLOps/LLMOps,"P01, P04, P06, P09, P10","CI/CD platform. Automates testing, building, and deployment workflows.",,"TL08, TL15, TL24, TL25",,Cross-domain use (5 projects); foundational MLOps/LLMOps tool,"AWS Lambda, Docker, Grafana, PagerDuty",,"VC Due Diligence AI Analyst, Supply Chain Demand Forecasting, Engineering Productivity AI Copilot, Marketing Performance Attribution, Cinema Revenue Optimization and Pricing"
TL27,tool,dbt,Data & Infra,"P03, P04, P09",Data transformation framework. Enables SQL-based ETL with version control and testing.,,"TL04, TL47",,Applied to 3 distinct domains; transferable with configuration,"Postgres, Snowflake",,"Fintech Fraud Detection Real-Time, Supply Chain Demand Forecasting, Marketing Performance Attribution"
TL28,tool,SHAP,MLOps/LLMOps,"P03, P08",Model explainability library. Computes Shapley values for feature importance.,,"TL20, TL22",,Applied to 2 distinct domains; transferable with configuration,"XGBoost, ONNX Runtime",,"Fintech Fraud Detection Real-Time, Healthcare Patient Outcome Prediction"
TL29,tool,Stripe,Product & Business,"P05, P10","Payment processing platform. Handles transactions, subscriptions, and billing.",,"TL09, TL30",,Applied to 2 distinct domains; transferable with configuration,"Next.js, SendGrid",,"Sales GTM Playbook and Automation, Cinema Revenue Optimization and Pricing"
TL30,tool,SendGrid,Enterprise Integration,P05,Email delivery service. Enables transactional and marketing emails at scale.,,"TL29, TL36, TL50",,Specialized use case; domain-specific adaptation required,"Stripe, Salesforce API, Slack API",,Sales GTM Playbook and Automation
TL31,tool,Make,Enterprise Integration,P05,Low-code automation platform. Connects SaaS apps via visual workflows.,,"TL36, TL50",,Specialized use case; domain-specific adaptation required,"Salesforce API, Slack API",,Sales GTM Playbook and Automation
TL32,tool,Pinecone,Data & Infra,P01,"Managed vector database. Serverless, auto-scaling, includes metadata filtering.",,"TL01, TL04",,Specialized use case; domain-specific adaptation required,"LangChain, Postgres",,VC Due Diligence AI Analyst
TL33,tool,Zendesk API,Enterprise Integration,P02,REST API for ticket management. Programmatic access to support tickets.,,"TL36, TL50",,Specialized use case; domain-specific adaptation required,"Salesforce API, Slack API",,Customer Support Multimodal Triage
TL34,tool,Prophet,AI/ML & LLM,P04,Facebook's time-series forecasting library. Handles seasonality and external regressors.,,"TL35, TL04",,Specialized use case; domain-specific adaptation required,"PyTorch, Postgres",,Supply Chain Demand Forecasting
TL35,tool,PyTorch,AI/ML & LLM,P04,"Deep learning framework. Flexible, research-friendly, supports LSTMs.",,"TL34, TL04",,Specialized use case; domain-specific adaptation required,"Prophet, Postgres",,Supply Chain Demand Forecasting
TL36,tool,Salesforce API,Enterprise Integration,P05,"CRM API for leads, accounts, opportunities. Foundation for sales automation.",,"TL30, TL50, TL31",,Specialized use case; domain-specific adaptation required,"SendGrid, Slack API, Make",,Sales GTM Playbook and Automation
TL37,tool,Looker,Product & Business,"P04, P08, P09",Business intelligence platform. Interactive dashboards and data exploration.,,"TL04, TL47",,Applied to 3 distinct domains; transferable with configuration,"Postgres, Snowflake",,"Supply Chain Demand Forecasting, Healthcare Patient Outcome Prediction, Marketing Performance Attribution"
TL38,tool,Tree-sitter,Full-Stack & APIs,P06,Code parsing library. Efficiently parses and navigates code across languages.,,TL39,,Specialized use case; domain-specific adaptation required,LSP,,Engineering Productivity AI Copilot
TL39,tool,LSP,Full-Stack & APIs,P06,Language Server Protocol. Standard for IDE/editor integration.,,"TL38, TL40",TL38,Specialized use case; domain-specific adaptation required,"Tree-sitter, VS Code",Tree-sitter,Engineering Productivity AI Copilot
TL40,tool,VS Code,Full-Stack & APIs,P06,"Popular code editor. Extensible via extensions, supports LSP.",,TL39,TL39,Specialized use case; domain-specific adaptation required,LSP,LSP,Engineering Productivity AI Copilot
TL41,tool,OR-Tools,AI/ML & LLM,P07,"Google's operations research library. Solves routing, scheduling, and constraint problems.",,"TL42, TL04",,Specialized use case; domain-specific adaptation required,"PostGIS, Postgres",,Field Service Optimization and Routing
TL42,tool,PostGIS,Data & Infra,P07,PostgreSQL extension for spatial data. Geographic queries and distance calculations.,,"TL04, TL41",TL04,Specialized use case; domain-specific adaptation required,"Postgres, OR-Tools",Postgres,Field Service Optimization and Routing
TL43,tool,Twilio,Enterprise Integration,"P07, P10","Communications API. Handles SMS, voice calls, and OTP.",,"TL50, TL36",,Applied to 2 distinct domains; transferable with configuration,"Slack API, Salesforce API",,"Field Service Optimization and Routing, Cinema Revenue Optimization and Pricing"
TL44,tool,spaCy,AI/ML & LLM,P08,"NLP library. Fast entity recognition, parsing, and classification.",,"TL01, TL02",,Specialized use case; domain-specific adaptation required,"LangChain, Mistral API",,Healthcare Patient Outcome Prediction
TL45,tool,Auth0,Enterprise Integration,P08,"Authentication and authorization platform. Manages SSO, MFA, and identity.",,"TL36, TL50",,Specialized use case; domain-specific adaptation required,"Salesforce API, Slack API",,Healthcare Patient Outcome Prediction
TL46,tool,HL7 FHIR,Enterprise Integration,P08,Healthcare interoperability standard. XML/JSON for EHR data exchange.,,TL04,TL04,Specialized use case; domain-specific adaptation required,Postgres,Postgres,Healthcare Patient Outcome Prediction
TL47,tool,Snowflake,Data & Infra,P09,Cloud data warehouse. SQL analytics on massive datasets.,,"TL04, TL27",,Specialized use case; domain-specific adaptation required,"Postgres, dbt",,Marketing Performance Attribution
TL48,tool,Google Analytics API,Enterprise Integration,P09,Analytics data API. Programmatic access to web traffic and behavior.,,"TL36, TL50",,Specialized use case; domain-specific adaptation required,"Salesforce API, Slack API",,Marketing Performance Attribution
TL49,tool,React Native,Full-Stack & APIs,P07,"Cross-platform mobile framework. Write JavaScript once, deploy to iOS/Android.",,"TL05, TL06",,Specialized use case; domain-specific adaptation required,"FastAPI, Flask",,Field Service Optimization and Routing
TL50,tool,Slack API,Enterprise Integration,P05,"Messaging platform API. Notifications, bots, and workflow automation.",,"TL36, TL30, TL31, TL43",,Specialized use case; domain-specific adaptation required,"Salesforce API, SendGrid, Make, Twilio",,Sales GTM Playbook and Automation
TL51,tool,AWS Lambda,Data & Infra,,Serverless compute. Used for scheduled pricing optimization.,,"TL12, TL26",,Specialized use case; domain-specific adaptation required,"S3, GitHub Actions",,
TL52,tool,Google Maps API,Enterprise Integration,P07,"Mapping and routing service. Travel time matrix, directions, autocomplete.",,"TL04, TL42",TL42,Specialized use case; domain-specific adaptation required,"Postgres, PostGIS",PostGIS,Field Service Optimization and Routing