bridge_id,project_id,project_name,skill_tool_id,skill_tool_name,skill_tool_category,quantum_modality,theory_or_engineering
P07_SK46,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,SK46,Supply Chain Domain Knowledge,Skill,classical-only,engineering
P07_SK47,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,SK47,Graph Data Structures & Algorithms,Skill,classical-only,engineering
P07_SK53,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,SK53,NIST PQC Standards (Kyber/Dilithium),Skill,classical-only,engineering
P07_SK54,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,SK54,Cryptographic Protocol Design,Skill,classical-only,engineering
P07_SK55,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,SK55,Key Lifecycle Management,Skill,classical-only,hybrid
P07_SK56,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,SK56,Hardware Security Module (HSM) Integration,Skill,classical-only,hybrid
P07_TL25,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL25,liboqs,Tool,classical-only,engineering
P07_TL04,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL04,FastAPI,Tool,classical-only,engineering
P07_TL05,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL05,PostgreSQL,Tool,classical-only,engineering
P07_TL26,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL26,Mistral API,Tool,classical-only,engineering
P07_TL13,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL13,LangChain,Tool,classical-only,engineering
P07_TL27,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL27,Vault,Tool,classical-only,engineering
P07_TL06,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL06,Docker,Tool,classical-only,engineering
P07_TL18,P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,TL18,Kubernetes,Tool,classical-only,engineering
P08_SK01,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK01,Quantum State Representation (Hilbert Spaces),Skill,superconducting,theory
P08_SK02,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK02,Quantum Measurement Theory (Born Rule),Skill,superconducting,theory
P08_SK03,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK03,Quantum Decoherence & T1/T2 Relaxation,Skill,superconducting,theory
P08_SK04,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK04,Quantum Gate Model & Clifford+T,Skill,superconducting,theory
P08_SK05,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK05,Complex Vector Spaces & Tensor Products,Skill,superconducting,theory
P08_SK06,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK06,Eigendecomposition & Spectral Theorem,Skill,superconducting,theory
P08_SK07,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK07,Quantum Information Theory (von Neumann Entropy),Skill,superconducting,theory
P08_SK08,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK08,Quantum Error Correction — Stabiliser Formalism,Skill,superconducting,theory
P08_SK09,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK09,NISQ-Era Limitations & Error Mitigation,Skill,superconducting,hybrid
P08_SK24,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK24,ML for Quantum Error Mitigation,Skill,superconducting,hybrid
P08_SK25,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK25,Hybrid Classical-Quantum Loops,Skill,superconducting,engineering
P08_SK26,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK26,PyTorch Production Patterns,Skill,superconducting,engineering
P08_SK27,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK27,REST API Design & FastAPI,Skill,superconducting,engineering
P08_SK32,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK32,Variational Quantum Machine Learning (QML),Skill,superconducting,theory
P08_SK33,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK33,Angle Encoding for Feature Maps,Skill,superconducting,engineering
P08_SK34,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,SK34,Barren Plateaus & Optimisation Challenges,Skill,superconducting,engineering
P08_TL01,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL01,Qiskit,Tool,superconducting,engineering
P08_TL16,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL16,TKET,Tool,superconducting,engineering
P08_TL10,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL10,PyTorch,Tool,superconducting,engineering
P08_TL28,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL28,ONNX,Tool,superconducting,engineering
P08_TL29,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL29,TensorFlow Lite,Tool,superconducting,engineering
P08_TL04,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL04,FastAPI,Tool,superconducting,engineering
P08_TL30,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL30,InfluxDB,Tool,superconducting,engineering
P08_TL06,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL06,Docker,Tool,superconducting,engineering
P08_TL18,P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,TL18,Kubernetes,Tool,superconducting,engineering
P09_SK01,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK01,Quantum State Representation (Hilbert Spaces),Skill,photonic,theory
P09_SK02,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK02,Quantum Measurement Theory (Born Rule),Skill,photonic,theory
P09_SK16,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK16,Photonic Quantum Optics (Coherent/Fock States),Skill,photonic,theory
P09_SK17,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK17,Beam Splitter Unitaries & Hong-Ou-Mandel Effect,Skill,photonic,theory
P09_SK18,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK18,Photon Indistinguishability & KLM Theorem,Skill,photonic,theory
P09_SK19,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK19,Boson Sampling & Complexity Theory,Skill,photonic,theory
P09_SK20,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK20,Quantum Fourier Transform & Phase Estimation,Skill,photonic,theory
P09_SK21,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK21,Single-Photon Source Engineering,Skill,photonic,engineering
P09_SK60,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK60,Homomorphic Encryption Theory,Skill,photonic,hybrid
P09_SK61,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK61,Secure Multi-Party Computation (MPC),Skill,photonic,hybrid
P09_SK62,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK62,Privacy-Preserving Quantum Protocols,Skill,photonic,engineering
P09_SK24,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK24,ML for Quantum Error Mitigation,Skill,photonic,hybrid
P09_SK25,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK25,Hybrid Classical-Quantum Loops,Skill,photonic,engineering
P09_SK26,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK26,PyTorch Production Patterns,Skill,photonic,engineering
P09_SK27,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK27,REST API Design & FastAPI,Skill,photonic,engineering
P09_SK32,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK32,Cryptographic Circuit Design,Skill,photonic,theory
P09_SK33,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK33,Homomorphic Encryption Implementation,Skill,photonic,engineering
P09_SK34,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,SK34,Regulatory Compliance (FDA 21 CFR Part 11),Skill,photonic,engineering
P09_TL12,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL12,Perceval SDK,Tool,photonic,engineering
P09_TL31,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL31,Microsoft SEAL,Tool,photonic,engineering
P09_TL32,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL32,RDKit,Tool,photonic,engineering
P09_TL10,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL10,PyTorch,Tool,photonic,engineering
P09_TL04,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL04,FastAPI,Tool,photonic,engineering
P09_TL06,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL06,Docker,Tool,photonic,engineering
P09_TL33,P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,TL33,TensorFlow Encrypted,Tool,photonic,engineering
P10_SK01,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK01,Quantum State Representation (Hilbert Spaces),Skill,superconducting,theory
P10_SK02,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK02,Quantum Measurement Theory (Born Rule),Skill,superconducting,theory
P10_SK04,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK04,Quantum Gate Model & Clifford+T,Skill,superconducting,theory
P10_SK05,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK05,Complex Vector Spaces & Tensor Products,Skill,superconducting,theory
P10_SK06,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK06,Eigendecomposition & Spectral Theorem,Skill,superconducting,theory
P10_SK65,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK65,Tensor Network Theory (MPS/PEPS/MERA),Skill,superconducting,engineering
P10_SK66,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK66,Graph Neural Networks (GNNs) for Quantum Circuits,Skill,superconducting,engineering
P10_SK67,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK67,Classical Tensor Contraction & opt_einsum,Skill,superconducting,engineering
P10_SK24,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK24,ML for Quantum Error Mitigation,Skill,superconducting,hybrid
P10_SK25,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK25,Hybrid Classical-Quantum Loops,Skill,superconducting,engineering
P10_SK26,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK26,PyTorch Production Patterns,Skill,superconducting,engineering
P10_SK27,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK27,REST API Design & FastAPI,Skill,superconducting,engineering
P10_SK32,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK32,Variational Quantum Eigensolver (VQE) Algorithm,Skill,superconducting,theory
P10_SK33,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK33,Constraint Embedding for QUBO,Skill,superconducting,engineering
P10_SK34,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK34,Distributed Systems & Caching,Skill,superconducting,engineering
P10_SK68,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK68,Quantum Circuit Benchmarking & Metrics,Skill,superconducting,engineering
P10_SK69,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,SK69,High-Performance Computing (HPC) Optimization,Skill,superconducting,engineering
P10_TL34,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL34,QuTiP,Tool,superconducting,engineering
P10_TL10,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL10,JAX,Tool,superconducting,engineering
P10_TL35,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL35,PyTorch Geometric,Tool,superconducting,engineering
P10_TL01,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL01,Qiskit,Tool,superconducting,engineering
P10_TL36,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL36,Flask,Tool,superconducting,engineering
P10_TL06,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL06,Docker,Tool,superconducting,engineering
P10_TL18,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL18,Kubernetes,Tool,superconducting,engineering
P10_TL07,P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,TL07,GitHub Actions,Tool,superconducting,engineering
P11_SK01,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK01,Quantum State Representation (Hilbert Spaces),Skill,annealing,theory
P11_SK02,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK02,Quantum Measurement Theory (Born Rule),Skill,annealing,theory
P11_SK29,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK29,Adiabatic Theorem & Quantum Tunnelling,Skill,annealing,engineering
P11_SK30,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK30,QUBO & Ising Model Formulation,Skill,annealing,hybrid
P11_SK31,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK31,Spin Glass Physics,Skill,annealing,theory
P11_SK42,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK42,Prompt Engineering & Chain-of-Thought,Skill,annealing,engineering
P11_SK43,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK43,Retrieval-Augmented Generation (RAG) Architecture,Skill,annealing,engineering
P11_SK44,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK44,Revenue Management & Dynamic Pricing Theory,Skill,annealing,engineering
P11_SK24,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK24,ML for Quantum Error Mitigation,Skill,annealing,hybrid
P11_SK25,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK25,Hybrid Classical-Quantum Loops,Skill,annealing,engineering
P11_SK26,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK26,PyTorch Production Patterns,Skill,annealing,engineering
P11_SK27,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK27,REST API Design & FastAPI,Skill,annealing,engineering
P11_SK32,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK32,LSTM Time-Series Forecasting,Skill,annealing,theory
P11_SK33,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,SK33,Inventory Management & Constraint Optimization,Skill,annealing,engineering
P11_TL19,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL19,Ocean SDK,Tool,annealing,engineering
P11_TL10,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL10,JAX,Tool,annealing,engineering
P11_TL13,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL13,LangChain,Tool,annealing,engineering
P11_TL04,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL04,FastAPI,Tool,annealing,engineering
P11_TL05,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL05,PostgreSQL,Tool,annealing,engineering
P11_TL11,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL11,Redis,Tool,annealing,engineering
P11_TL37,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL37,Cinema POS API,Tool,annealing,engineering
P11_TL06,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL06,Docker,Tool,annealing,engineering
P11_TL07,P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,TL07,GitHub Actions,Tool,annealing,engineering
P12_SK32,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK32,REST API Design & FastAPI,Skill,classical-only,theory
P12_SK33,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK33,Container Orchestration (Docker/Kubernetes),Skill,classical-only,engineering
P12_SK34,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK34,SQL Data Modelling,Skill,classical-only,engineering
P12_SK42,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK42,Prompt Engineering & Chain-of-Thought,Skill,classical-only,engineering
P12_SK43,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK43,Retrieval-Augmented Generation (RAG) Architecture,Skill,classical-only,engineering
P12_SK44,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK44,LLM Output Parsing & Safety,Skill,classical-only,engineering
P12_SK45,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK45,Semantic Search & Vector Embeddings,Skill,classical-only,engineering
P12_SK46,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK46,Technical Documentation & Developer Experience,Skill,classical-only,engineering
P12_SK47,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK47,Full-Stack Web Development (React/Next.js),Skill,classical-only,engineering
P12_SK72,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK72,Benchmark Design & Metrics,Skill,classical-only,engineering
P12_SK73,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK73,Multi-SDK Integration & Transpilation,Skill,classical-only,engineering
P12_SK74,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,SK74,Community & Open-Source Engagement,Skill,classical-only,engineering
P12_TL01,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL01,Qiskit,Tool,classical-only,engineering
P12_TL38,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL38,Cirq,Tool,classical-only,engineering
P12_TL39,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL39,PennyLane,Tool,classical-only,engineering
P12_TL12,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL12,Perceval,Tool,classical-only,engineering
P12_TL26,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL26,Mistral API,Tool,classical-only,engineering
P12_TL13,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL13,LangChain,Tool,classical-only,engineering
P12_TL14,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL14,FastAPI,Tool,classical-only,engineering
P12_TL05,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL05,PostgreSQL,Tool,classical-only,engineering
P12_TL40,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL40,Qdrant,Tool,classical-only,engineering
P12_TL06,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL06,React/Next.js,Tool,classical-only,engineering
P12_TL07,P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,TL07,Docker,Tool,classical-only,engineering
