project_id,project_name,domain,quantum_modality,quantum_ai_synergy_vector,business_problem,fde_solution_summary,tech_stack_high_level,infrastructure_notes,integration_targets,skill_gap_flags,portfolio_fit_notes,skill_stack_ids,skill_stack_names,tool_stack_ids,tool_stack_names
P01,Quantum-Enhanced Drug Molecule Screening via VQE,Pharma & Life Sciences,superconducting,Quantum-enhanced optimisation,"Pharmaceutical research pipelines screen millions of candidate molecules, consuming weeks of HPC time. Current classical methods achieve limited chemical accuracy at scale.","Deploy a hybrid VQE+PyTorch pipeline integrating with IBM Quantum cloud, combining variational ansatz tuning with ML-based error mitigation. Candidate constructs the classical orchestration layer (REST API, job queuing, result aggregation) while leveraging pre-built VQE kernels.","Qiskit, Qiskit Aer, PyTorch, FastAPI, PostgreSQL, AWS Braket, Docker, GitHub Actions",IBM Quantum cloud QPU access or AWS Braket; PostgreSQL for metadata; containerised classical backend on AWS Lambda; CI/CD via GitHub Actions for circuit parameter updates.,"Pharma LIMS (electronic lab notebook integration), molecular simulation software (GROMACS output ingestion), HPC job schedulers (SLURM).","PyTorch production patterns, VQE algorithm customisation, noise-aware circuit design, NISQ-era limitations management.",Demonstrates FDE capability: translates vague molecular optimisation problem into concrete VQE+AI architecture. Optical tweezer background (precision instrumentation) maps to quantum state preparation and calibration. Shows full-stack from QPU to REST endpoint.,"SK01,SK02,SK03,SK04,SK05,SK06,SK07,SK08,SK09,SK10,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK35","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Quantum Decoherence & T1/T2 Relaxation,Quantum Gate Model & Clifford+T,Complex Vector Spaces & Tensor Products,Eigendecomposition & Spectral Theorem,Quantum Information Theory (von Neumann Entropy),Quantum Error Correction — Stabiliser Formalism,NISQ-Era Limitations & Error Mitigation,Variational Quantum Eigensolver (VQE) Algorithm,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,SQL Data Modelling,Container Orchestration (Docker/Kubernetes)","TL01,TL02,TL03,TL04,TL05,TL06,TL07,TL08","Qiskit,Qiskit Aer,PyTorch,FastAPI,PostgreSQL,AWS Braket,Docker,GitHub Actions"
P02,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Logistics & Supply Chain,neutral-atom,Quantum-enhanced optimisation,Last-mile delivery networks with 500+ stops require combinatorial optimisation; classical metaheuristics stall at scale. Logistics operators need sub-second route updates during peak demand.,"Architect a Pulser-based QAOA circuit targeting Rydberg blockade on Pasqal hardware. Candidate designs the problem embedding (vehicle constraints → QUBO), orchestrates Pulser pulse sequences, and builds a real-time REST wrapper that accepts live delivery requests and returns optimised routes within SLA.","Pulser SDK, JAX, FastAPI, Redis, Postgres, Docker, GitHub Actions, Pasqal cloud API",Pasqal's remote Rydberg hardware accessed via cloud API; Redis for real-time route cache; Postgres for historical performance metrics; edge deployment on logistics partner's servers.,"Route planning software (OSRM, VROOM), fleet tracking systems (Samsara, Geotab), ERP demand forecasting modules.","Pulser SDK mastery, Rydberg atom physics deep-dive, QAOA circuit design for constrained optimisation, real-time inference optimisation.","Core Pasqal/Quandela FDE skill: demonstrates neutral-atom hardware intuition and problem-to-pulse translation. Optical tweezers → Rydberg atoms (same family, laser control). Shows ability to ship production quantum+classical hybrid under tight SLA.","SK01,SK02,SK04,SK11,SK12,SK13,SK14,SK15,SK28,SK29,SK30,SK31,SK32,SK35,SK36,SK37","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Quantum Gate Model & Clifford+T,Rydberg Atom Physics & Dipole Blockade,Optical Tweezer Trap Design & Manipulation,Laser Cooling (Doppler & Sub-Doppler),QAOA Algorithm & Circuit Design,Constraint Embedding for QUBO,AI-Assisted Circuit Optimisation,Real-Time Inference Acceleration,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,Container Orchestration (Docker/Kubernetes),Distributed Systems & Caching,Cache-Aware Algorithm Design","TL09,TL10,TL04,TL11,TL05,TL06,TL07,TL08","Pulser SDK,JAX,FastAPI,Redis,PostgreSQL,Docker,GitHub Actions,AWS Braket"
P03,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Materials Science & Deep Tech,photonic,Quantum simulation for AI training data,Materials chemists perform expensive lab experiments to identify novel crystal structures; classical simulators cannot model photonic scattering signatures at sufficient fidelity. Boson sampling offers exponential speedup for sampling exotic material properties.,"Leverage Quandela's Perceval SDK to design and execute boson sampling circuits on photonic hardware (or emulation). Build an AI pipeline that ingests boson sampling output, trains a generative model to interpolate sampled distributions, and predicts material properties for unseen crystal configurations.","Perceval SDK, PyTorch, JAX, LangChain, Qdrant (vector DB), FastAPI, Docker, CUDA-Q",Quandela cloud access for photonic QPU or high-fidelity emulator; Qdrant vector database for embedding boson samples; training on GPU (NVIDIA A100 or cloud equivalent); model serving via FastAPI.,"Materials research LIMS, crystallography databases (ICSD), computational chemistry software (VASP, SIESTA output import).","Perceval SDK depth, photon indistinguishability and KLM theorem, boson sampling complexity theory, generative model training (VAE/diffusion).","Quandela specialisation: bridges candidate's optical background (fiber optics, photonic principles from Institut d'Optique) with quantum sampling. Shows ability to translate domain science into hybrid AI+quantum pipeline. Demonstrates SDQC readiness (privacy-preserving sampling over remote QPU).","SK01,SK02,SK16,SK17,SK18,SK19,SK20,SK21,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK38,SK39","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Photonic Quantum Optics (Coherent/Fock States),Beam Splitter Unitaries & Hong-Ou-Mandel Effect,Photon Indistinguishability & KLM Theorem,Boson Sampling & Complexity Theory,Quantum Fourier Transform & Phase Estimation,Single-Photon Source Engineering,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,Generative Models (VAE/Diffusion),Vector Database Integration (Qdrant/Weaviate)","TL12,TL10,TL04,TL13,TL14,TL15,TL04,TL06,TL07","Perceval SDK,JAX,FastAPI,LangChain,Qdrant,Docker,GitHub Actions,CUDA-Q"
P04,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,Finance & Risk Management,trapped-ion,Quantum-enhanced optimisation,"Portfolio managers optimise allocations across thousands of assets subject to risk, liquidity, and regulatory constraints. Current quadratic programming solvers handle 100–500 assets; quantum advantage emerges at 1000+.","Design TKET-compiled circuits for IonQ/Quantinuum trapped-ion hardware encoding portfolio constraints. Candidate builds orchestration layer (constraint translation, circuit compilation via Pytket, risk metric aggregation) and integrates with Bloomberg/Reuters feeds for real-time rebalancing suggestions.","TKET, Pytket, Qiskit, JAX, FastAPI, PostgreSQL, Bloomberg API wrapper, Docker, Kubernetes",IonQ or Quantinuum cloud QPU access; PostgreSQL for portfolio metadata and historical returns; FastAPI service for constraint ingestion; Kubernetes for autoscaling during market hours.,"Bloomberg Terminal, Reuters Eikon, risk management systems (MSCI RiskMetrics), order execution platforms (Bloomberg Execution Services).","TKET/Pytket workflow, trapped-ion gate fidelity and all-to-all connectivity exploitation, high-dimensional constraint encoding, financial domain knowledge (risk metrics, portfolio theory).","Quantinuum/IonQ enterprise FDE play. Demonstrates ability to work with high-fidelity trapped-ion platforms (Mølmer–Sørensen gates, long coherence times). Shows financial domain translation and production-grade real-time system design.","SK01,SK02,SK03,SK04,SK22,SK23,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK40,SK41","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Quantum Decoherence & T1/T2 Relaxation,Quantum Gate Model & Clifford+T,Trapped-Ion Physics & Paul/Penning Traps,Mølmer–Sørensen Gate Mechanism,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,Variational Quantum Eigensolver (VQE) Algorithm,Constraint Embedding for QUBO,Financial Domain Integration","TL16,TL17,TL01,TL10,TL04,TL05,TL06,TL18,TL07","TKET,Pytket,Qiskit,JAX,FastAPI,PostgreSQL,Docker,Bloomberg API,Kubernetes"
P05,D-Wave Annealing + ML for Supply Chain Disruption Prediction,Enterprise AI & Operations,annealing,AI-assisted error mitigation,"Supply chain visibility systems must detect cascading disruptions (supplier failures, logistics delays) in real-time. Classical ML inference lags; hybrid quantum-classical can pre-screen QUBO-encoded scenarios faster.",Candidate builds a feature pipeline (supply chain graph → QUBO embeddings) and deploys D-Wave Ocean SDK annealing jobs in parallel with classical random forest predictions. An LLM-powered dashboard synthesises both outputs into actionable alerts for operations teams.,"Ocean SDK, PyTorch, Scikit-learn, LangChain, FastAPI, PostgreSQL, Qdrant, Docker, GitHub Actions",D-Wave Leap cloud annealing service; PostgreSQL for supply chain graph; Qdrant for embedding historical disruption patterns; LLM API (Mistral or OpenAI) for alert generation; edge deployment on customer's enterprise network.,"Supply chain visibility platforms (Fourkites, Flexport), ERP systems (SAP, Oracle), incident ticketing (Jira Service Desk).","Ocean SDK QUBO formulation, annealing-specific hyperparameter tuning, LLM prompt engineering for domain alerts, supply chain domain knowledge.",Demonstrates enterprise FDE breadth: quantum annealing is complementary to gate-model approaches. Shows practical hybrid QC+AI design for real operational constraints. Establishes credibility with enterprise customers (AMI Labs deployment profile).,"SK01,SK02,SK29,SK30,SK31,SK42,SK43,SK44,SK32,SK33,SK34,SK45,SK46,SK47","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Adiabatic Theorem & Quantum Tunnelling,QUBO & Ising Model Formulation,Spin Glass Physics,AI-Assisted Circuit Optimisation,Prompt Engineering & Chain-of-Thought,Retrieval-Augmented Generation (RAG) Architecture,ML for Quantum Error Mitigation,REST API Design & FastAPI,Container Orchestration (Docker/Kubernetes),Supply Chain Domain Knowledge,Graph Data Structures & Algorithms,LLM Output Parsing & Safety","TL19,TL10,TL20,TL13,TL04,TL05,TL14,TL06,TL07","Ocean SDK,JAX,Scikit-learn,LangChain,FastAPI,PostgreSQL,Qdrant,Docker,GitHub Actions"
P06,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Quantum Hardware Engineering,superconducting,AI-assisted error mitigation,Quantum hardware vendors face hardware calibration drift; two-qubit gate fidelities degrade over hours. Manual re-tuning is labour-intensive; automated ML-driven calibration is urgent.,"Candidate designs a reinforcement learning loop: measure two-qubit gate fidelities via randomised benchmarking, train a neural network to predict optimal pulse parameters, and update the Qiskit Pulse compiler in real-time. Integrates telemetry dashboards for hardware operations teams.","Qiskit, Qiskit Aer, Qiskit Pulse, PyTorch, Ray (distributed ML), Prometheus, Grafana, FastAPI, Docker",On-premises or cloud QPU telemetry; centralised ML training on GPU cluster; Prometheus for metrics collection; Grafana dashboards for ops visibility; automated recompilation trigger via GitHub Actions.,"Quantum hardware control systems (QCS), cryogenic dilution fridges, classical control electronics firmware.","Qiskit Pulse low-level control, reinforcement learning for hardware tuning, randomised benchmarking protocol design, distributed ML infrastructure (Ray).","Premium FDE vertical: hardware calibration work is high-value, low-volume. Shows deep quantum hardware intuition and MLOps credibility. Candidate's instrumentation background (optical tweezers at McGill, DGA simulation) transfers directly to pulse-level tuning.","SK01,SK02,SK03,SK04,SK05,SK06,SK24,SK25,SK26,SK27,SK48,SK49,SK50,SK51,SK52","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Quantum Decoherence & T1/T2 Relaxation,Quantum Gate Model & Clifford+T,Complex Vector Spaces & Tensor Products,Eigendecomposition & Spectral Theorem,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,Reinforcement Learning for Hardware Control,Randomised Benchmarking Protocol Design,Distributed ML Training (Ray/Spark),MLOps & Continuous Retraining,Prometheus/Grafana Monitoring","TL01,TL02,TL21,TL10,TL22,TL23,TL24,TL04,TL06","Qiskit,Qiskit Aer,Qiskit Pulse,PyTorch,Ray,Prometheus,Grafana,FastAPI,Docker"
P07,Post-Quantum Cryptography Migration with AI-Powered Key Management,Cybersecurity & Enterprise Defense,classical-only,Post-quantum cryptography (PQC) + AI,"Enterprises face urgent mandate to migrate from RSA/ECDSA to NIST PQC standards (Kyber, Dilithium) before quantum computers render legacy encryption obsolete. Key rotation at scale is operationally complex.","Candidate builds an AI-assisted PQC migration pipeline: ingests enterprise certificate inventory, uses an LLM to flag risky key dependencies, automates NIST algorithm selection (Kyber for KEM, Dilithium for signatures), orchestrates key generation and distribution via secure hardware modules (HSMs), and deploys monitoring to detect anomalous key usage.","liboqs (NIST PQC library), FastAPI, PostgreSQL, Mistral API, LangChain, Vault (secrets management), Docker, Kubernetes, Prometheus","NIST-certified PQC library (liboqs) integration; Vault for key lifecycle; HSM integration for secure key generation; enterprise PKI systems (EJBCA, Dogtag); audit logging via ELK stack.","PKI/HSM infrastructure, enterprise TLS/SSL stacks, certificate authorities (DigiCert, Let's Encrypt automation), API gateways (Kong, Apigee).","NIST PQC standards (Kyber, Dilithium, Falcon), HSM integration, certificate lifecycle management, LLM-based security policy reasoning, compliance audit trails (SOC 2, FedRAMP).",Forward-looking security FDE play. Demonstrates quantum-readiness design patterns even though classical-only. Shows defense sector credibility (Pasqal/Mistral customers often DARPA-funded). Establishes differentiation: FDE who understands quantum threat timeline.,"SK01,SK42,SK43,SK44,SK32,SK33,SK34,SK45,SK46,SK47,SK53,SK54,SK55,SK56","Quantum State Representation (Hilbert Spaces),Prompt Engineering & Chain-of-Thought,Retrieval-Augmented Generation (RAG) Architecture,Adiabatic Theorem & Quantum Tunnelling,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,REST API Design & FastAPI,LLM Output Parsing & Safety,Supply Chain Domain Knowledge,Graph Data Structures & Algorithms,NIST PQC Standards (Kyber/Dilithium),Cryptographic Protocol Design,Key Lifecycle Management,Hardware Security Module (HSM) Integration","TL25,TL04,TL05,TL26,TL13,TL27,TL06,TL18","liboqs,FastAPI,PostgreSQL,Mistral API,LangChain,Vault,Docker,Kubernetes"
P08,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,IoT & Industrial Monitoring,superconducting,QML / Variational circuits,"Industrial plants deploy thousands of sensors (vibration, temperature, pressure); anomaly detection must run at edge with sub-100ms latency. Classical neural networks struggle with streaming, imbalanced fault signatures.","Design a hybrid quantum machine learning classifier: embed sensor time-series into quantum circuits using angle encoding, train a variational ansatz on historical fault data (PyTorch+Qiskit), compile to NISQ-friendly depth via TKET, and deploy on edge devices via quantised ONNX export.","Qiskit, TKET, PyTorch, ONNX, Edge ML runtime (TensorFlow Lite / ONNX Runtime), FastAPI, InfluxDB, Docker, Kubernetes",Hybrid cloud + edge: cloud trains variational circuit; edge devices run compiled inference. InfluxDB time-series storage; Kubernetes orchestration for model versioning and A/B testing.,"Industrial IoT platforms (Predix, MindSphere), SCADA systems (Ignition), historians (OSIsoft PI).","Variational QML architecture design, angle encoding for time-series, NISQ circuit depth constraints, edge quantisation/compression, streaming anomaly detection theory.","Demonstrates QML specialist credentials. Bridges FDE and AI ML expertise (core candidate strength in PyTorch). Shows industrial deployment rigour: latency budgets, model versioning, A/B testing. Credential for Mistral/AMI Labs transition.","SK01,SK02,SK03,SK04,SK05,SK06,SK07,SK08,SK09,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK57,SK58,SK59","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Quantum Decoherence & T1/T2 Relaxation,Quantum Gate Model & Clifford+T,Complex Vector Spaces & Tensor Products,Eigendecomposition & Spectral Theorem,Quantum Information Theory (von Neumann Entropy),Quantum Error Correction — Stabiliser Formalism,NISQ-Era Limitations & Error Mitigation,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,Variational Quantum Machine Learning (QML),Angle Encoding for Feature Maps,Barren Plateaus & Optimisation Challenges","TL01,TL16,TL10,TL28,TL29,TL04,TL30,TL06,TL18","Qiskit,TKET,PyTorch,ONNX,TensorFlow Lite,FastAPI,InfluxDB,Docker,Kubernetes"
P09,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Pharma & Biotechnology,photonic,Secure delegated quantum computation (SDQC),Biotech firms outsource molecular simulations to quantum vendors but must protect proprietary compound structures. Standard QPU APIs expose circuit details; SDQC protocols hide inputs/outputs via blind computation.,"Implement Quandela's SDQC protocol: candidate blinds molecular descriptors via homomorphic encryption, submits to Quandela's remote photonic QPU, receives encrypted boson-sampled results, and decrypts locally. Integrates with drug discovery pipelines (RDKit, ChemAxon) for seamless proprietary data protection.","Perceval SDK, Homomorphic Encryption library (Microsoft SEAL or Lattigo), RDKit, PyTorch, FastAPI, Docker, TensorFlow Encrypted",Quandela cloud SDQC endpoint; client-side HE key management; secure enclave for decryption (optional Intel SGX); audit logging for compliance (FDA 21 CFR Part 11).,"Drug discovery software (Schrödinger, MOE), biotech lab management systems (LIMS), regulatory reporting (FDA eCopy audits).","Homomorphic encryption theory and implementation, Quandela SDQC protocol specifics, cryptographic circuit design, regulatory compliance (FDA, EMA).",Cutting-edge Quandela differentiation: SDQC is unique IP. Demonstrates security-first quantum architecture thinking. Shows ability to bridge cryptography + quantum + biotech domains. Premium positioning for pharma FDE roles.,"SK01,SK02,SK16,SK17,SK18,SK19,SK20,SK21,SK60,SK61,SK62,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK63,SK64","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Photonic Quantum Optics (Coherent/Fock States),Beam Splitter Unitaries & Hong-Ou-Mandel Effect,Photon Indistinguishability & KLM Theorem,Boson Sampling & Complexity Theory,Quantum Fourier Transform & Phase Estimation,Single-Photon Source Engineering,Homomorphic Encryption Theory,Secure Multi-Party Computation (MPC),Privacy-Preserving Quantum Protocols,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,Cryptographic Circuit Design,Homomorphic Encryption Implementation,Regulatory Compliance (FDA 21 CFR Part 11)","TL12,TL31,TL32,TL10,TL04,TL06,TL33","Perceval SDK,Microsoft SEAL,RDKit,PyTorch,FastAPI,Docker,TensorFlow Encrypted"
P10,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Quantum Software Engineering & Research,superconducting,Quantum-enhanced optimisation,Quantum hardware vendors need classical simulators to validate circuits up to ~20 qubits before deploying to physical hardware. Standard simulators (Qiskit Aer statevector) don't scale; tensor networks offer efficient compression.,"Candidate deploys a tensor network simulator (MPS/PEPS backends) via QuTiP and JAX, trains a GNN to predict circuit depth reductions and optimal contraction ordering, and integrates into Qiskit's simulator selection logic via a Flask microservice.","QuTiP, JAX, PyTorch Geometric (GNNs), Qiskit, Flask, Docker, Kubernetes, GitHub Actions",Distributed tensor network computation on GPU cluster; caching of precomputed contractions in Redis; A/B testing framework for GNN contraction policy validation.,"Qiskit simulator ecosystem, cloud quantum compute platforms (AWS Braket, Azure Quantum), benchmarking suites (QASMBench).","Tensor network theory (MPS/PEPS), graph neural networks (GNNs), JAX functional programming, high-performance tensor contraction libraries (opt_einsum).","Research-grade FDE credential. Demonstrates ability to ship advanced quantum algorithms (tensor networks) + AI (GNNs) in production. Signals maturity for Quantum Solutions Engineer tracks at Pasqal, Quandela post-2027.","SK01,SK02,SK04,SK05,SK06,SK65,SK66,SK67,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK68,SK69","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Quantum Gate Model & Clifford+T,Complex Vector Spaces & Tensor Products,Eigendecomposition & Spectral Theorem,Tensor Network Theory (MPS/PEPS/MERA),Graph Neural Networks (GNNs) for Quantum Circuits,Classical Tensor Contraction & opt_einsum,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,Variational Quantum Eigensolver (VQE) Algorithm,Constraint Embedding for QUBO,Distributed Systems & Caching,Quantum Circuit Benchmarking & Metrics,High-Performance Computing (HPC) Optimization","TL34,TL10,TL35,TL01,TL36,TL06,TL18,TL07","QuTiP,JAX,PyTorch Geometric,Qiskit,Flask,Docker,Kubernetes,GitHub Actions"
P11,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Media & Entertainment,annealing,Quantum-enhanced optimisation,Multiplex cinemas adjust ticket pricing per screen per timeslot based on predicted demand; manual pricing stalls as venue portfolios scale to 50+ screens. Quantum-assisted revenue optimisation can handle combinatorial pricing strategies.,"Candidate builds a revenue management system: ML models forecast demand (PyTorch LSTM on historical bookings), encode pricing constraints as QUBO (inventory, cannibalization, margin floors), submit to D-Wave annealing, and deploy prices via cinema POS APIs. Real-time dashboards track yield vs forecast.","Ocean SDK, PyTorch, LangChain (for strategic reasoning), FastAPI, PostgreSQL, Redis, Cinema POS API wrappers, Docker, GitHub Actions",D-Wave Leap access; PostgreSQL for booking history; Redis for real-time price cache; edge deployment at multiplex headquarters; hourly reoptimisation triggered by demand forecast updates.,"Cinema management systems (Premiere Global, Movio), ticketing platforms (Ticketmaster), business intelligence (Tableau, Looker).","QUBO formulation for pricing constraints, inventory+cannibalization modelling, revenue management domain depth, annealing hyperparameter tuning.",Wildcard domain showcasing portfolio breadth: cinema business model deep-dive (candidate's stated interest). Demonstrates FDE can adapt quantum+AI to any vertical. Signals consulting upside and corporate development credibility.,"SK01,SK02,SK29,SK30,SK31,SK42,SK43,SK44,SK24,SK25,SK26,SK27,SK32,SK33,SK34,SK70,SK71","Quantum State Representation (Hilbert Spaces),Quantum Measurement Theory (Born Rule),Adiabatic Theorem & Quantum Tunnelling,QUBO & Ising Model Formulation,Spin Glass Physics,Prompt Engineering & Chain-of-Thought,Retrieval-Augmented Generation (RAG) Architecture,Revenue Management & Dynamic Pricing Theory,ML for Quantum Error Mitigation,Hybrid Classical-Quantum Loops,PyTorch Production Patterns,REST API Design & FastAPI,LSTM Time-Series Forecasting,Inventory Management & Constraint Optimization","TL19,TL10,TL13,TL04,TL05,TL11,TL37,TL06,TL07","Ocean SDK,JAX,LangChain,FastAPI,PostgreSQL,Redis,Cinema POS API,Docker,GitHub Actions"
P12,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer,Quantum Education & Developer Tools,classical-only,none,"Quantum developers struggle to compare performance across Qiskit, Cirq, PennyLane, Perceval—each has different benchmarks, metrics, documentation. No unified resource; learning curve steep.","Candidate builds a unified quantum circuit benchmark portal: aggregates public benchmark suites (QASMBench, Quantum Benchmarks, Quandela's photonic benchmarks), stores results in Postgres with multi-dimensional indexing (hardware, circuit family, depth, width), and deploys an LLM-powered assistant (Mistral API) that explains circuit results in plain English and suggests optimisation strategies.","Qiskit, Cirq, PennyLane, Perceval, Mistral API, LangChain, FastAPI, PostgreSQL, Qdrant, React/Next.js, Docker, GitHub Actions",Cloud-hosted benchmark portal; automated weekly benchmark runs on public QPU access (AWS Braket free tier); vector embedding of benchmark descriptions for semantic search; frontend React spa.,"Quantum developer communities (Qiskit Slack, Cirq GitHub), cloud quantum platforms (AWS Braket, Azure Quantum, IBM Quantum), educational platforms (Coursera, Udacity).","LLM prompt engineering for technical explanations, multi-library circuit transpilation, benchmark data schema design, community developer engagement.","Developer relations + open-source credibility. Showcases solo-buildable full-stack capacity (React frontend, FastAPI backend, ML integration, community tooling). Strong signal for Mistral/AMI Labs culture fit (developer-first, open ecosystem). Establishes thought leadership in quantum DevEx.","SK32,SK33,SK34,SK42,SK43,SK44,SK45,SK46,SK47,SK72,SK73,SK74","REST API Design & FastAPI,Container Orchestration (Docker/Kubernetes),SQL Data Modelling,Prompt Engineering & Chain-of-Thought,Retrieval-Augmented Generation (RAG) Architecture,LLM Output Parsing & Safety,Semantic Search & Vector Embeddings,Technical Documentation & Developer Experience,Full-Stack Web Development (React/Next.js),Benchmark Design & Metrics,Multi-SDK Integration & Transpilation,Community & Open-Source Engagement","TL01,TL38,TL39,TL12,TL26,TL13,TL14,TL05,TL40,TL06,TL07","Qiskit,Cirq,PennyLane,Perceval,Mistral API,LangChain,FastAPI,PostgreSQL,Qdrant,React/Next.js,Docker"
