tool_id,type,tool_name,tool_category,quantum_stack_relevance,candidate_gap,reference,project_ids,description,works_with,requires,transferability_notes,works_with_names,requires_names,project_names
TL01,tool,Qiskit,Quantum SDK,superconducting,yes,https://qiskit.org,"P01,P04,P06,P08,P12","IBM's open-source quantum computing framework. Gate model circuits, simulators (Aer statevector, QASM), hardware access via IBM Quantum, and VQE/QAOA implementations.","TL02,TL10,TL21,TL22,TL23,TL24",,Industry-standard superconducting QC SDK. Must-have for all FDE roles.,"Qiskit Aer,JAX,Qiskit Pulse,Prometheus,Grafana,FastAPI",,"Quantum-Enhanced Drug Molecule Screening via VQE,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL02,tool,Qiskit Aer,Quantum Simulation,superconducting,yes,https://qiskit.org/documentation/aer/,"P01,P06,P08","High-performance quantum circuit simulator with noise model support. Statevector, QASM, and unitary simulators. NoiseModel for NISQ-era error characterisation.","TL01,TL10,TL21,TL22,TL23",TL01,Essential for error mitigation and NISQ algorithm development.,"Qiskit,JAX,Qiskit Pulse,Prometheus,Grafana",Qiskit,"Quantum-Enhanced Drug Molecule Screening via VQE,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Variational Quantum Classifier for Anomaly Detection in Sensor Networks"
TL03,tool,PyTorch,AI/ML & LLM,classical-only,no,https://pytorch.org,"P01,P02,P03,P04,P05,P06,P08,P09,P10,P11","Deep learning framework with autograd, distributed training, and GPU support. Core for hybrid quantum-classical loops and ML-based error mitigation.","TL10,TL04,TL13,TL20,TL21,TL22,TL26,TL35",,Candidate's stated strength: ESA production app in PyTorch + Flask. Direct hire signal.,"JAX,FastAPI,LangChain,Scikit-learn,Prometheus,Ray,TKET,PyTorch Geometric",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation"
TL04,tool,FastAPI,Full-Stack & APIs,classical-only,no,https://fastapi.tiangolo.com,"P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","Modern async web framework for building REST APIs with automatic OpenAPI/Swagger docs, Pydantic validation, and production-ready deployment.","TL03,TL05,TL06,TL07,TL11,TL14,TL15,TL27,TL37",,Candidate's stated asset: ESA production app with REST APIs. Core FDE skill.,"PyTorch,PostgreSQL,Docker,GitHub Actions,Redis,Qdrant,Vault,Cinema POS API",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL05,tool,PostgreSQL,Data & Infra,classical-only,no,https://www.postgresql.org,"P01,P02,P04,P05,P06,P07,P08,P09,P10,P11","Production-grade relational database with JSONB, full-text search, and scalability. Standard for quantum job metadata, result storage, and circuit benchmarks.","TL04,TL06,TL07,TL11,TL14,TL15,TL30",,Candidate's EY audit experience with data model validation and ESA metadata management.,"FastAPI,Docker,GitHub Actions,Redis,Qdrant,LangChain,InfluxDB",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation"
TL06,tool,Docker,MLOps/LLMOps,classical-only,yes,https://www.docker.com,"P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","Containerisation platform for reproducible, isolated quantum+AI applications. Dockerfile, image layers, registry management.","TL04,TL05,TL07,TL08,TL18,TL27",,Honest gap: candidate lacks Docker production experience. Critical MLOps hire signal.,"FastAPI,PostgreSQL,GitHub Actions,AWS Braket,Kubernetes,Vault",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL07,tool,GitHub Actions,MLOps/LLMOps,classical-only,yes,https://github.com/features/actions,"P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12","CI/CD workflows for automated testing, linting, and deployment. Integration with cloud quantum platforms for periodic circuit benchmarking.","TL06,TL08,TL18,TL27",,Honest gap but acquirable. Startup background may provide informal CI/CD familiarity.,"Docker,AWS Braket,Kubernetes,Vault",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL08,tool,AWS Braket,Quantum SDK,all,yes,https://aws.amazon.com/braket/,"P01,P02,P08","AWS cloud quantum computing service. Multi-vendor QPU access (IonQ, Rigetti, D-Wave), on-demand simulator, and hybrid job orchestration.","TL01,TL02,TL06,TL07,TL18",,Multi-modality QPU cloud platform. Enterprise FDE standard.,"Qiskit,Qiskit Aer,Docker,GitHub Actions,Kubernetes",,"Quantum-Enhanced Drug Molecule Screening via VQE,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Variational Quantum Classifier for Anomaly Detection in Sensor Networks"
TL09,tool,Pulser SDK,Quantum SDK,neutral-atom,yes,https://pulser.readthedocs.io,P02,"Pasqal's Rydberg atom programming SDK. Pulse-level control, analog+digital hybrid circuits, QAOA design for neutral atoms, and device simulation.","TL10,TL04,TL05,TL11",,Pasqal specialisation. Optical tweezer background (McGill) maps directly to Rydberg control.,"JAX,FastAPI,PostgreSQL,Redis",,Rydberg Neutral-Atom QAOA for Logistics Route Optimisation
TL10,tool,JAX,AI/ML & LLM,classical-only,yes,https://jax.readthedocs.io,"P02,P03,P04,P05,P10",Functional ML framework with automatic differentiation and GPU/TPU support. Alternative to PyTorch for quantum variational circuits and tensor operations.,"TL03,TL09,TL12,TL13,TL34,TL35",,Honest gap: candidate lacks JAX production experience. Growing importance in quantum ML.,"PyTorch,Pulser SDK,Perceval SDK,LangChain,QuTiP,PyTorch Geometric",,"Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking"
TL11,tool,Redis,Data & Infra,classical-only,yes,https://redis.io,"P02,P05,P08,P11","In-memory caching and pub/sub system. Real-time route cache for logistics, price updates, and sensor alert buffering.","TL04,TL05,TL09,TL14",,Honest gap for production deployment. High-leverage for real-time quantum systems.,"FastAPI,PostgreSQL,Qdrant,LangChain",,"Rydberg Neutral-Atom QAOA for Logistics Route Optimisation,D-Wave Annealing + ML for Supply Chain Disruption Prediction,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation"
TL12,tool,Perceval SDK,Quantum SDK,photonic,yes,https://perceval.quandela.net,"P03,P09,P12","Quandela's photonic quantum computing SDK. Boson sampling, circuit definition, SDQC protocol for privacy-preserving computation.","TL10,TL13,TL14,TL15,TL31,TL32,TL33",,"Quandela flagship SDK. Bridges candidate's optical background (fiber optics, Institut d'Optique) with photonic QC.","JAX,LangChain,Qdrant,LlamaIndex,Microsoft SEAL,RDKit,TensorFlow Encrypted",,"Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL13,tool,LangChain,AI/ML & LLM,classical-only,yes,https://www.langchain.com,"P03,P05,P07,P11,P12","Framework for building LLM-powered applications. Prompt templating, memory management, RAG integration, and structured output parsing.","TL12,TL14,TL15,TL26,TL37,TL39,TL40",,Honest gap but rapidly learnable. Core for modern AI+quantum systems.,"Perceval SDK,Qdrant,LlamaIndex,Mistral API,Cinema POS API,React/Next.js,PennyLane",,"Photonic Quantum Sampling for Materials Discovery (Boson Sampling),D-Wave Annealing + ML for Supply Chain Disruption Prediction,Post-Quantum Cryptography Migration with AI-Powered Key Management,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL14,tool,Qdrant,Data & Infra,classical-only,yes,https://qdrant.tech,"P03,P05,P09,P12","Vector database for semantic search. Embedding boson-sampled data, supply chain pattern retrieval, and RAG document indexing.","TL12,TL13,TL14,TL15,TL37",,Emerging infrastructure skill. Honest gap; foundational for modern RAG + quantum data systems.,"Perceval SDK,LangChain,LlamaIndex,Qdrant,Cinema POS API",,"Photonic Quantum Sampling for Materials Discovery (Boson Sampling),D-Wave Annealing + ML for Supply Chain Disruption Prediction,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL15,tool,LlamaIndex (formerly GPT Index),AI/ML & LLM,classical-only,yes,https://www.llamaindex.ai,"P03,P09,P12","Data framework for RAG. Document ingestion, indexing, and retrieval optimisation for quantum circuit documentation and scientific papers.","TL12,TL13,TL14,TL26",TL13,RAG specialisation. Works alongside LangChain.,"Perceval SDK,LangChain,Qdrant,Mistral API",LangChain,"Photonic Quantum Sampling for Materials Discovery (Boson Sampling),Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL16,tool,TKET,Quantum SDK,trapped-ion,yes,https://tket.quantinuum.com,P04,"Quantinuum's circuit optimisation and compilation framework. Trapped-ion specific: MS gate compilation, qubit mapping, all-to-all connectivity exploitation.","TL17,TL01,TL10",,Quantinuum/IonQ enterprise FDE skill. High-fidelity gate compilation.,"Pytket,Qiskit,JAX",,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation
TL17,tool,Pytket,Quantum SDK,trapped-ion,yes,https://cqcl.github.io/pytket,P04,"Python API for TKET. Pythonic circuit manipulation, constraint-aware qubit mapping, and backend-agnostic transpilation.","TL16,TL01",TL16,Trapped-ion compilation standard. Production-grade constraint handling.,"TKET,Qiskit",TKET,Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation
TL18,tool,Kubernetes,MLOps/LLMOps,classical-only,yes,https://kubernetes.io,"P04,P06,P07,P08,P10","Container orchestration for production quantum services. Pod management, service discovery, HPA for market-hour autoscaling.","TL06,TL07,TL18,TL27",TL06,Honest gap. Enterprise infrastructure skill for scaling quantum services.,"Docker,GitHub Actions,Kubernetes,Vault",Docker,"Trapped-Ion Quantum Simulation for Financial Portfolio Optimisation,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management,Variational Quantum Classifier for Anomaly Detection in Sensor Networks,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking"
TL19,tool,Ocean SDK (D-Wave),Quantum SDK,annealing,yes,https://docs.dwavesys.com/,"P05,P11","D-Wave quantum annealing SDK. QUBO formulation, problem embedding, sampler selection, and hybrid classical-quantum algorithms.","TL10,TL20,TL04",,Annealing-specific. Complementary to gate-model platforms.,"JAX,Scikit-learn,FastAPI",,"D-Wave Annealing + ML for Supply Chain Disruption Prediction,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation"
TL20,tool,Scikit-learn,AI/ML & LLM,classical-only,no,https://scikit-learn.org,P05,"Classical ML library. Random forests, ensemble methods, and preprocessing for hybrid quantum-classical supply chain predictions.","TL03,TL19,TL04",,Candidate's Python + data science background covers this.,"PyTorch,Ocean SDK,FastAPI",,D-Wave Annealing + ML for Supply Chain Disruption Prediction
TL21,tool,Qiskit Pulse,Quantum SDK,superconducting,yes,https://qiskit.org/documentation/apidoc/pulse.html,P06,"Low-level pulse programming for quantum gates. Custom gate calibration, optimal control, and hardware parameter tuning.","TL01,TL02,TL22",TL01,Advanced control layer. Candidate's instrumentation background (optical tweezers) maps to pulse-level tuning.,"Qiskit,Qiskit Aer,Ray",Qiskit,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates
TL22,tool,Ray (Distributed Computing),MLOps/LLMOps,classical-only,yes,https://docs.ray.io/,P06,"Distributed computing framework. Ray Tune for hyperparameter tuning, RLlib for reinforcement learning hardware control.","TL21,TL03,TL23",,Honest gap. Distributed RL for hardware calibration.,"Qiskit Pulse,PyTorch,Prometheus",,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates
TL23,tool,Prometheus,MLOps/LLMOps,classical-only,yes,https://prometheus.io,"P06,P07","Metrics collection and time-series database. Gate fidelity tracking, calibration drift detection, and production system observability.","TL22,TL24",,Honest gap. Ops rigour for production quantum systems.,"Ray,Grafana",,"AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates,Post-Quantum Cryptography Migration with AI-Powered Key Management"
TL24,tool,Grafana,MLOps/LLMOps,classical-only,yes,https://grafana.com,P06,"Monitoring and visualization platform. Real-time dashboards for gate fidelities, hardware operations team visibility.",TL23,TL23,Dashboard design skills; works with Prometheus.,Prometheus,Prometheus,AI-Assisted Quantum Circuit Calibration for Multi-Qubit Gates
TL25,tool,liboqs (OpenQuantumSafe NIST PQC Library),Quantum SDK,classical-only,yes,https://openquantumsafe.org/,P07,"NIST post-quantum cryptography library. Kyber (KEM), Dilithium (signatures), and hybrid classical-PQC implementations.","TL26,TL27",,PQC tooling. Enterprise security compliance.,"Mistral API,Vault",,Post-Quantum Cryptography Migration with AI-Powered Key Management
TL26,tool,Mistral API,AI/ML & LLM,classical-only,yes,https://mistral.ai,"P05,P07,P11,P12","Mistral's LLM API. Prompt engineering, structured output via function calling, and supply chain / quantum alert reasoning.","TL13,TL15,TL25,TL40",,Candidate targeting Mistral/AMI Labs. Direct relevance for FDE positioning.,"LangChain,LlamaIndex,liboqs,React/Next.js",,"D-Wave Annealing + ML for Supply Chain Disruption Prediction,Post-Quantum Cryptography Migration with AI-Powered Key Management,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer"
TL27,tool,Vault (HashiCorp),Data & Infra,classical-only,yes,https://www.vaultproject.io,P07,"Secrets and key management system. HSM integration, key lifecycle automation, and audit logging for PQC key management.","TL04,TL06,TL25",,Enterprise security infrastructure. PQC key protection.,"FastAPI,Docker,liboqs",,Post-Quantum Cryptography Migration with AI-Powered Key Management
TL28,tool,ONNX (Open Neural Network Exchange),AI/ML & LLM,classical-only,yes,https://onnx.ai,P08,Model format for cross-framework portability. PyTorch → ONNX → edge device inference for QML classifiers.,"TL03,TL29",TL03,Model portability standard. QML edge deployment.,"PyTorch,TensorFlow Lite",PyTorch,Variational Quantum Classifier for Anomaly Detection in Sensor Networks
TL29,tool,TensorFlow Lite,AI/ML & LLM,classical-only,yes,https://www.tensorflow.org/lite,P08,Lightweight ML inference for edge devices. Quantised QML models for sub-100ms latency in anomaly detection.,"TL28,TL03",TL28,Edge ML deployment. IoT sensor network inference.,"ONNX,PyTorch",ONNX,Variational Quantum Classifier for Anomaly Detection in Sensor Networks
TL30,tool,InfluxDB,Data & Infra,classical-only,yes,https://www.influxdata.com/,P08,"Time-series database for sensor data. Streaming IoT metrics, anomaly detection event storage, and real-time alerting.","TL05,TL04",,Time-series specialist for sensor network data.,"PostgreSQL,FastAPI",,Variational Quantum Classifier for Anomaly Detection in Sensor Networks
TL31,tool,Microsoft SEAL (Homomorphic Encryption),Quantum SDK,classical-only,yes,https://github.com/microsoft/SEAL,P09,Homomorphic encryption library for privacy-preserving quantum computation. Data encryption for blind SDQC protocols.,"TL12,TL32,TL33",,Cutting-edge security + quantum convergence. Premium FDE credential.,"Perceval SDK,RDKit,TensorFlow Encrypted",,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery
TL32,tool,RDKit (Cheminformatics),AI/ML & LLM,classical-only,yes,https://www.rdkit.org,P09,"Open-source chemistry toolkit. Molecular descriptor computation, SMILES parsing, and drug discovery pipeline integration.","TL12,TL31,TL33",,Pharma domain integration. Candidate's chemistry background (Institut d'Optique proximity to biochemistry).,"Perceval SDK,Microsoft SEAL,TensorFlow Encrypted",,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery
TL33,tool,TensorFlow Encrypted,AI/ML & LLM,classical-only,yes,https://github.com/tf-encrypted/tf-encrypted,P09,Privacy-preserving machine learning. Secure multi-party computation for decrypted boson sampling output analysis.,"TL31,TL32",TL31,Security + ML intersection. Advanced FDE specialisation.,"Microsoft SEAL,RDKit",Microsoft SEAL,Secure Delegated Quantum Computation (SDQC) for Privacy-Preserving Drug Discovery
TL34,tool,QuTiP (Quantum Toolbox in Python),Quantum Simulation,all,yes,https://qutip.org,P10,"Python framework for quantum system simulation. Master equation solvers, tensor networks, and mesolve for NISQ+classical hybrid benchmarking.","TL01,TL10,TL35",,Research-grade simulation. Tensor network specialist tool.,"Qiskit,JAX,PyTorch Geometric",,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking
TL35,tool,PyTorch Geometric (GNNs),AI/ML & LLM,classical-only,yes,https://pytorch-geometric.readthedocs.io/,P10,"Graph neural networks library. Circuit graph representations, contraction ordering prediction via GNNs, and transpilation policy learning.","TL03,TL34,TL01",TL03,Emerging quantum compilation skill. Candidate's PyTorch background enables quick mastery.,"PyTorch,QuTiP,Qiskit",PyTorch,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking
TL36,tool,Flask,Full-Stack & APIs,classical-only,no,https://flask.palletsprojects.com/,P10,Lightweight web framework. Microservice for tensor network simulator selection and deployment orchestration.,"TL04,TL03",,Candidate's stated asset: ESA production app with Flask + REST APIs.,"FastAPI,PyTorch",,Tensor Network Classical Simulation + ML for Quantum Circuit Benchmarking
TL37,tool,Cinema POS API Wrapper (Custom),Enterprise Integration,classical-only,yes,https://www.premiereglobal.com/,P11,"Custom integration layer with cinema ticketing systems (Premiere Global, Movio). Price deployment and demand sync.","TL04,TL11,TL13",TL04,Domain-specific: cinema business model deep-dive. Candidate interest aligns.,"FastAPI,Redis,LangChain",FastAPI,Cinema Demand Forecasting & Dynamic Pricing with Quantum Optimisation
TL38,tool,Cirq (Google),Quantum SDK,superconducting,yes,https://quantumai.google/cirq,P12,"Google's quantum circuit framework. Alternative to Qiskit for benchmarking, with emphasis on simulators and parameterised circuits.","TL01,TL39,TL40",,Multi-SDK benchmarking. Cross-platform developer tools credential.,"Qiskit,PennyLane,React/Next.js",,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer
TL39,tool,PennyLane (Xanadu),Quantum SDK,photonic,yes,https://pennylane.ai,P12,"Xanadu's differentiable quantum programming framework. QML, photonic backends, and plugin architecture for multi-SDK integration.","TL01,TL38,TL12,TL13",,QML + photonic specialisation. Cross-platform developer tools.,"Qiskit,Cirq,Perceval SDK,LangChain",,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer
TL40,tool,React/Next.js,Full-Stack & APIs,classical-only,no,https://nextjs.org,P12,"Frontend framework for quantum benchmarking portal. Interactive circuit visualization, benchmark comparisons, and LLM-powered explanations.","TL26,TL38,TL39,TL04",,Candidate's stated strength: ESA production app with React. Direct application.,"Mistral API,Cirq,PennyLane,FastAPI",,Multi-Modality Quantum Benchmark Aggregator & LLM-Powered Circuit Explainer
TL41,tool,CUDA-Q (NVIDIA),Quantum SDK,all,yes,https://developer.nvidia.com/cuda-q,P03,NVIDIA's unified quantum-classical computing platform. GPU-accelerated simulation and multi-GPU circuit optimization.,"TL01,TL03,TL10",,Emerging quantum + GPU convergence. NVIDIA ecosystem integration.,"Qiskit,PyTorch,JAX",,Photonic Quantum Sampling for Materials Discovery (Boson Sampling)
